Company,JobTitle,Location,Salary,Level,Type,Phone,Mail,Facebook,Twitter,Extra,Date,Link
 Каппэ Бэнэ Мон,ПРОГРАММ ХӨГЖҮҮЛЭГЧ,"Монгол улс, Улаанбаатар хот, Хан-Уул дүүрэг, 18-р хороо, Хүннү-2222 барилга, 5 байр","1,200,000 - 1,500,000",Мэргэжилтэн,Бүтэн цагийн,"7555-3000, 9410-2363", ,,CaffeBeneMN,CaffeBeneMN, ,"2022-04-08 08:51
",https://www.zangia.mn/job/_4twk9+wwy5
 Таван Богд Сол,Инженер /АТМ хариуцсан/,"Монгол улс, Улаанбаатар хот, Хан-Уул дүүрэг, Таван Богд Группийн байр, 2,5 давхар","1,200,000 - 1,500,000", ,Ээлжийн,9410-4303, ,,TavanBogdSolutions, , ,"2022-04-07 17:07
",https://www.zangia.mn/job/_oef0om4r7v
" ""Тод Өнгө Гэрэ",Онлайн менежер,"Монгол улс, Улаанбаатар хот, Баянгол дүүрэг, 17 хороо, Амарсанаагийн гудамж, ""Гэрэлт од өргөө"" төвийн хойд хаалга, Тод өнгө бичгийн хэрэгслийн дэлгүүр","1,200,000 - 1,500,000",Мэргэжилтэн,Бүтэн цагийн,"8000-6464, 8011-2058", ,,Тод Өнгө Бичиг Хэрэгслийн Дэлгүүр, , ,"2022-03-22 18:06
",https://www.zangia.mn/job/_6no20cosrs
 Юнайтэд Аллиан,Системийн инженер,"Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, 8-р хороо, Сүхбаатарын талбай-2 Сэнтрал Тауэр, 10 давхар, 1007 тоот","1,800,000 - 2,100,000",Мэргэжилтэн,Бүтэн цагийн,7777-5522, ,,United Alliance Mongolia, , ,"2022-03-24 14:37
",https://www.zangia.mn/job/_u7gn8f+5bm
 Топика ХХКМонг,Бүртгэл хяналтын ажилтан,"Монгол улс, Улаанбаатар хот, Чингэлтэй дүүрэг, 1-р хороо, 3А оффис байр","1,200,000 - 1,500,000Тохиролцоно",Мэргэжил хамаарахгүй,Бүтэн цагийн,7012-5002,11314582,,#, , ,"2022-04-07 14:12
",https://www.zangia.mn/job/_2x92j_ykfw
 БСБ Сервис ХХК,Компьютерийн засварын инженер,"Монгол улс, Улаанбаатар хот, Баянгол дүүрэг, Барс захын замын эсрэг талд БСБ Сервис ХХК-ий байр.","1,500,000 - 1,800,000",Мэргэжилтэн,Бүтэн цагийн,7505-5005, ,", ",bsbservicellchrdepartment,BSBServicellc, ,"2022-04-05 16:28
",https://www.zangia.mn/job/_s00u0_7478
 Номин Холдинг ,ТӨСЛИЙН МЕНЕЖЕР  /Мэдээлэл Технологийн салбар/,"Монгол улс, Улаанбаатар хот, Хан-Уул дүүрэг, Номин Юнайтед Төв оффис 4 давхарт Хүний нөөц,бодлогын газар","1,800,000 - 2,100,000",Дунд шатны удирдлага,Бүтэн цагийн,"8988-5503, 8988-5504, 8988-5616", ,,NominHoldingOfficial,nomin_official, ,"2022-03-28 19:00
",https://www.zangia.mn/job/_s7llc0w75c
Логоо,Сошиал админ,"Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, 6-р хороо, 11 хороолол, Их сургуулийн гудамж, 32/1 байр, 8 давхар, 802 тоот","1,000,000 - 1,200,000Тохиролцоно", , ,"7717-0607, 8808-8656", ,", ",eguur.news,EguurM,"Гүйцэтгэх үндсэн үүрэг- Пэйж хөгжүүлэх
- Интернет орчинд сурталчилгаа хийх ","2022-03-14 17:42
",https://www.zangia.mn/job/_wy3xd1egi7
 Мэдээлэл техно,Мэдээллийн технологийн ажилтан,"Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, Монгол улс, Улаанбаатар хот , Сvхбаатар дvvрэг, Бага тойруу-49
Ulaanbaatar, Mongolia 14200","800,000 - 1,000,000",Мэргэжилтэн,Бүтэн цагийн,"1132-7123, 312920",976-113271,,ITPARK.mn,NITParkmn, ,"2022-04-07 11:13
",https://www.zangia.mn/job/_vy8tb2qerl
Добу технологи ХХК,Холбоо дохиоллын инженер,"Монгол улс, Улаанбаатар хот, Хан-Уул дүүрэг, 15 хороо Махатма Ганди гудамж Элит хаус 2-4 тоот","1,500,000 - 1,800,000",Дунд шатны удирдлага,Бүтэн цагийн,8810-4683,-,,dobu.io,DOBU_HOME_IOT,"Гүйцэтгэх үндсэн үүрэг
Барилгын төслүүдийн холбоо дохиоллын зураг төсөл боловсруулах, зургийн дагуу угсралт суурилуулалтын ажлыг удирдан зохион байгуулах, хяналт тавьж ажиллах
Төслийн талбайд сууриуулах тоног төхөөрөмжийн суурилуулалт, сүлжээний зохион байгуулалтыг зургийн дагуу гүйцэтгэж, сүлжээний төхөөрөмжүүдийн тохиргоог хийж, хэвийн найдвартай ажиллагааг хангах
Хариуцсан төсөл, гүйцэтгэсэн ажлуудын ангилал бүрээр шинэ боломжуудыг судлан нэвтрүүлж хөгжүүлэн, удирдлагыг шаардлагатай мэдээллээр хангаж ажиллах
Холбоо дохиоллын инженерийн ажлын байрны тодорхойлолтод заасан бусад үүрэг даалгаврыг гүйцэтгэх
","2022-03-29 09:09
",https://www.zangia.mn/job/_d7j7p_+ypk
 Лэндмн ББСБ,Бүтээгдэхүүний мэргэжилтэн,"Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, Улаанбаатар хот, Чингэлтэй дүүрэг, 3-р хороо, Жуулчны гудамж-34, ""Сувд төв"" Оффис
Утас: 77070101","1,800,000 - 2,100,000",Мэргэжилтэн,Бүтэн цагийн,7722-2949, ,,LendMN, , ,"2022-04-07 10:24
",https://www.zangia.mn/job/_j8khbmv_d1
 Юнител ГруппТү,Сүлжээний инженер,"Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, 8-р хороо, Сүхбаатарын талбай-2 Сэнтрал Тауэр, 8-р давхар",Тохиролцоно,Мэргэжилтэн,Бүтэн цагийн,7777-8070,77778989,,unitelofficial, , ,"2022-03-21 09:55
",https://www.zangia.mn/job/_cgwsin9f_3
 ВСТК Монгол ХХ,Япон хэлтэй вэб сайт хариуцсан ажилтан, ,"1,200,000 - 1,500,000",Мэргэжилтэн,Бүтэн цагийн,"8687-0722, 9489-6932", ,, , , ,"2022-04-07 09:28
",https://www.zangia.mn/job/_0-19ug2lnx
 Монголын Алт г,МЭДЭЭЛЭЛ ТЕХНОЛОГИЙН МЭРГЭЖИЛТЭН,"Монгол улс, Улаанбаатар хот, Хан-Уул дүүрэг, 19-р хороолол, Чингисийн өргөн чөлөө ""Монголын Алт"" ХХК-ийн төв байр","1,200,000 - 1,500,000",Мэргэжилтэн,Бүтэн цагийн,7010-7482, ,, , , ,"2022-04-07 09:23
",https://www.zangia.mn/job/_id7gmk1rv2
МИТПС ХХК,Нэвтрүүлэлтийн менежер ажилд авна.,"Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, 1-р хороо, Union Building A-503 тоот","1,000,000 - 1,200,000Тохиролцоно", , ,9499-7770, ,,MITPC LLC Group,-,"Гүйцэтгэх үндсэн үүрэг

Хэрэглэгчидэд туслан зааварчлах, хэрэглэгчийн саналыг бүртгэлжүүлэн түүнд тохирсон шийдвэрийг бие даан гаргах.
хийгдсэн болон хийгдэж байгаа програм хангамжийн нэвтрүүлэлт сургалтыг зохион байгуулан гүйцэтгэх зэрэг үүргийг гүйцэтгэнэ.

","2022-03-23 19:01
",https://www.zangia.mn/job/_1+fzsk26hz
 Хаан Банк,МТ архитектур өгөгдлийн газарт Шийдлийн аналист,"Монгол улс, Улаанбаатар хот, ХААН Банк цамхаг, Чингисийн өргөн чөлөө-6, Стадион Оргил-1, Хан-Уул дүүрэг, Улаанбаатар 17010                   ",Тохиролцоно,Мэргэжилтэн,Бүтэн цагийн,7515-3333, ,,khanbank,khan_bank, ,"2022-04-06 13:14
",https://www.zangia.mn/job/_dwgf70rlgi
 Улаанбаатар см,"""СИСТЕМ АДМИН"" ажилд авна.","Монгол улс, Улаанбаатар хот, Чингэлтэй дүүрэг, 4-р хороо Бага тойруу 15, Нийслэлийн засаг захиргааны 4-р байр, 4-н давхар 
цахим шуудан: hr@uscc.mn","1,200,000 - 1,500,000",Мэргэжилтэн,Бүтэн цагийн,7810-0100, ,, , , ,"2022-03-24 12:08
",https://www.zangia.mn/job/_1v-tqczob1
 Клин Энержи Аз,Мэдээллийн технологийн инженер,"Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, Клин Энержи Ази ХХК
Найман Зовхис барилга, 10-р давхар, Сөүлийн гудамж 21
Улаанбаатар 14251
Утас: +976 70003183(43)
Факс: +976 11 318521
И-Мэйл:  info@cea.mn","2,100,000 - 2,500,000Тохиролцоно", , ,"7000-3183, 7509-1193", ,,TsetsiiWindFarm, , ,"2022-04-05 17:10
",https://www.zangia.mn/job/_nmjk-k-cah
 Нью Телеком ХХ,ХОЛБОО ДОХИОЛЛЫН ИНЖЕНЕР,"Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, 6-р хороо, Метро Бизнес Төв, А жигүүр 4-р давхар (СУИС-ийн зүүн хойд талд)","1,500,000 - 1,800,000",Мэргэжилтэн,Бүтэн цагийн,"1132-2787, 9408-0110", ,,newtelecomllc, , ,"2022-04-04 10:22
",https://www.zangia.mn/job/_1d6f6dylmj
 Гүнд инвестмен,Дижитал системийн тестлэгч /TUSS LLC/,"Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, 1-р хороо, Реженси Резиденс 201 тоот","1,500,000 - 1,800,000",Мэргэжилтэн,Бүтэн цагийн,7000-4628, ,,tussolution.tuss,-, ,"2022-03-15 16:46
",https://www.zangia.mn/job/_7tpz4j2-cd
 МОСТ Финтек ХХ,МЭДЭЭЛЛИЙН СИСТЕМИЙН АДМИН (ШИНЖЭЭЧ),"Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, 8-р хороо, Сүхбаатарын талбай, Сэнтрал Тауэр, 17 давхарт","1,800,000 - 2,100,000",Мэргэжилтэн,Бүтэн цагийн,7505-2727, ,,MostMoneyMN, , ,"2022-03-11 10:35
",https://www.zangia.mn/job/_668k47rxvj
" ""Гааль, татвар",Системийн тестэр,"Монгол улс, Улаанбаатар хот, Чингэлтэй дүүрэг, Чингэлтэй дүүрэг, Нэгдсэн Үндэстний Байгууллагын гудамж 38 Мон жигүүр ХХК-ний байр 4 давхар",Тохиролцоно,Мэргэжилтэн,Бүтэн цагийн,7012-1033, ,,ebarimt,ebarimt, ,"2022-03-22 14:41
",https://www.zangia.mn/job/_4yh7hkvg8j
 Юнител ГруппТү,Програм хөгжүүлэлтийн инженер,"Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, 8-р хороо, Сүхбаатарын талбай-2 Сэнтрал Тауэр, 8-р давхар","2,100,000 - 2,500,000",Мэргэжилтэн,Бүтэн цагийн,7777-8070,77778989,,unitelofficial, , ,"2022-04-05 13:11
",https://www.zangia.mn/job/_b2o+5nl5qq
 Нэкст Групп XX,МЭДЭЭЛЛИЙН СИСТЕМИЙН ШИНЖЭЭЧ,"Монгол улс, Улаанбаатар хот, Хан-Уул дүүрэг, Чингисийн өргөн чөлөө-6, Хаан Банк цамхаг 7 давхар.","1,800,000 - 2,100,000",Мэргэжилтэн,Бүтэн цагийн,"7777-1540, 8805-6728, 8008-1540", ,,nextelectronics,Nextelectronics, ,"2022-04-05 13:05
",https://www.zangia.mn/job/_ezc6wswiku
 Макс ГруппИлүү,Дижитал систем хөгжүүлэлтийн инженер,"Монгол улс, Улаанбаатар хот, Чингэлтэй дүүрэг, 5-р хороо, M Plaza төв, 3 давхар, 303 тоот","2,100,000 - 2,500,000",Мэргэжилтэн,Бүтэн цагийн, , , ,maxgroup.mgl, , ,"2022-03-22 13:56
",https://www.zangia.mn/job/_tt80iatgui
 Дата Бэйнк ХХК,Программ хөгжүүлэгч,"Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, Улаанбаатар хот, Сүхбаатар дүүрэг 1-р хороо, DHL буйлдинг 501 тоот. Утас: 7011-1717 
Веб хууда: www.databank.mn   Имэйл:hr@databank.mn /Захиргаа, Хүний нөөцийн алба/","2,500,000 - 3,000,000Тохиролцоно",Мэргэжилтэн,Бүтэн цагийн,8805-9772, ,,databank.mn, , ,"2022-04-04 14:11
",https://www.zangia.mn/job/_nljakegvdn
 Хаан Банк,МТ Автоматжуулалт Инженерчлэлийн газарт Ахлах хөгжүүлэлт автоматжуулалтын инженер,"Монгол улс, Улаанбаатар хот, ХААН Банк цамхаг, Чингисийн өргөн чөлөө-6, Стадион Оргил-1, Хан-Уул дүүрэг, Улаанбаатар 17010                   ",Тохиролцоно,Дунд шатны удирдлага,Бүтэн цагийн,7515-3333, ,,khanbank,khan_bank, ,"2022-04-04 13:07
",https://www.zangia.mn/job/_kf7uoplith
ТВ-9 ТЕЛЕВИЗ,Гэрээт жолооч,"Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, 8-р хороо Ерөнхий сайд А.Амарын гудамж ТВ-9 Телевизийн байр","800,000 - 1,000,000",Мэргэжил хамаарахгүй,Бүтэн цагийн,"7011-0628, 7011-0630, 7011-0631",70110628,", ",tv9mongolia, ,Гүйцэтгэх үндсэн үүрэгМэдээ болон Программын албанд гэрээт жолоочийн үүрэг гүйцэтгэнэ,"2022-03-23 10:46
",https://www.zangia.mn/job/_g5kxwic7b8
ТВ-9 ТЕЛЕВИЗ,Зураглаач,"Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, 8-р хороо Ерөнхий сайд А.Амарын гудамж ТВ-9 Телевизийн байр","800,000 - 1,000,000Тохиролцоно",Мэргэжилтэн,Бүтэн цагийн,"7011-0628, 7011-0630, 7011-0631",70110628,", ",tv9mongolia, ,Гүйцэтгэх үндсэн үүрэгТелевизэд зураглаачаар ажиллана,"2022-03-31 11:29
",https://www.zangia.mn/job/_icff9arjho
 Саммит Компьют,IT support admin,"Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, Монгол улс | Улаанбаатар хот | 
Сүхбаатар дүүрэг | 1 хороо |  Жамъян Гүний гудамж | 
ICC Tower |  18 давхар |","1,000,000 - 1,200,000",Мэргэжилтэн,Бүтэн цагийн,"7007-3535, 7575-3535", ,,PC mall,PC mall, ,"2022-04-04 11:42
",https://www.zangia.mn/job/_qwapvzzkrm
 Фибо Глобал ХХ,ХӨГЖҮҮЛЭГЧ (ЦАЛИН ӨНДӨР),"Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, Централ Тауэр, 907 тоот","2,100,000 - 2,500,000", ,Бүтэн цагийн,7510-5585, ,,fibocloud, , ,"2022-04-04 11:35
",https://www.zangia.mn/job/_x3famqmhzn
 Тэнгэр Даатгал,Мэдээлэл технологийн мэргэжилтэн,"Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, Сити центр, 11 давхар, Б.Алтангэрэлийн гудамж -5",Тохиролцоно,Мэргэжилтэн,Бүтэн цагийн,7500-1889, ,,tengerinsurance,tenger_daatgal, ,"2022-04-04 09:50
",https://www.zangia.mn/job/_dym-c9-5y3
 Сод Монгол Гру,ДЭЛГҮҮРИЙНМЕНЕЖЕР,"Монгол улс, Улаанбаатар хот, Сонгинохайрхан дүүрэг, Баянгол дүүрэг, 20-р хороо Үйлдвэрийн бүс 1","1,200,000 - 1,500,000Тохиролцоно",Мэргэжилтэн,Бүтэн цагийн,9507-1337, ,,sodmongolgroup, , ,"2022-04-01 10:40
",https://www.zangia.mn/job/_i7ukz7127d
 Таван Богд Фин,Дадлагын оюутан-Мэдээллийн систем,"Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, 8-р хороо, Таван Богд Плаза төвийн 1 давхар
/Талбайн зүүн гар талд Галлерей УБ төвийн залгаа Туушин зочид буудлын хойно Таван Богд Финанс ББСБ-ын байр/","320,000 - 400,000",Оюутан /Дадлага/,Бүтэн цагийн,9400-8333, ,,Таван Богд Групп, , ,"2022-03-31 18:54
",https://www.zangia.mn/job/_u_b9vtekwb
МАПРОУД,Мэдээллийн технологийн ажилтан,"Монгол улс, Улаанбаатар хот, Чингэлтэй дүүрэг, Пийс тауэр 16 давхар 1604 тоот","1,500,000 - 1,800,000",Мэргэжилтэн,Бүтэн цагийн,8003-6050,70187891,,maproad LLC, ,Гүйцэтгэх үндсэн үүрэгАжлын байрны тодорхойлолтод заасан үндсэн үүргийн дагуу,"2022-03-31 17:49
",https://www.zangia.mn/job/_14etj8wh06
 Үндэсний Дата ,Мониторингийн ажилтан,"Монгол улс, Улаанбаатар хот, Сонгинохайрхан дүүрэг, Монгол улс, Улаанбаатар хот		
Сонгинохайрхан дүүрэг, 1-р хороо","1,500,000 - 1,800,000",Мэргэжилтэн,Ээлжийн,7018-0092,70180093,,Монголын Үндэсний Дата Төв,Үндэсний Дата Төв, ,"2022-03-31 14:52
",https://www.zangia.mn/job/_imijx4q_bu
 Том-АмжилтАмжи,Ахлах веб хөгжүүлэгч,"Монгол улс, Улаанбаатар хот, Хан-Уул дүүрэг, 20-р хороо Номин Юнайтед их дэлгүүрийн зүүн талд Цэлмэг технологийн сургууль","2,500,000 - 3,000,000",Дунд шатны удирдлага,Бүтэн цагийн,8080-1779, ,,amjiltcom,amjiltcom, ,"2022-04-09 18:42
",https://www.zangia.mn/job/_b_nmcn8hpm
 Том-АмжилтАмжи,Веб хөгжүүлэгч,"Монгол улс, Улаанбаатар хот, Хан-Уул дүүрэг, 20-р хороо Номин Юнайтед их дэлгүүрийн зүүн талд Цэлмэг технологийн сургууль","1,200,000 - 1,500,000",Мэргэжилтэн,Бүтэн цагийн,8080-1779, ,,amjiltcom,amjiltcom, ,"2022-04-09 18:38
",https://www.zangia.mn/job/_onesv2p3vb
 Топика ХХКМонг,Байгууллага хариуцсан борлуулалтын менежер,"Монгол улс, Улаанбаатар хот, Чингэлтэй дүүрэг, 1-р хороо, 3А оффис байр","1,200,000 - 1,500,000",Дунд шатны удирдлага,Бүтэн цагийн,7012-5002,11314582,,#, , ,"2022-04-08 19:50
",https://www.zangia.mn/job/_yjs7wd1-tl
 Тэсо ГруппЧөлө,Мэдээлэл технологийн инженер,"Монгол улс, Улаанбаатар хот, Монгол улс, Улаанбаатар хот СХД 18-р хороо, Энхтайвны өргөн чөлөө-157, ТЭСО корпораци","1,500,000 - 1,800,000",Мэргэжилтэн,Бүтэн цагийн,8803-4025, ,,TESOcorp,teso.mn, ,"2022-04-08 18:11
",https://www.zangia.mn/job/_acpwd_0ui1
 Скайтел ХХКИРЭ,ДАМЖУУЛАХ СҮЛЖЭЭНИЙ ИНЖЕНЕР,"Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, 1-р хороо, Чингисийн өргөн чөлөө-9, 
Скайтел плаза","1,000,000 - 1,200,000",Мэргэжилтэн,Бүтэн цагийн,9112-0202, ,,skytelofficial,SkytelOfficial, ,"2022-04-05 15:02
",https://www.zangia.mn/job/_f-isw4+v-8
 Арш Технологи ,ИНЖЕНЕР,"Монгол улс, Улаанбаатар хот, Чингэлтэй дүүрэг, Монгол улс, Улаанбаатар хот-16051, Чингэлтэй дүүрэг, Их тойруу гудамж-15150, Премиум Палас, 514 тоот","1,200,000 - 1,500,000Тохиролцоно", ,Бүтэн цагийн,"8001-8813, 7557-1414", ,,ArshTechLLC, , ,"2022-04-08 17:36
",https://www.zangia.mn/job/_vkyhb9z4je
 Глобал Нэгдэл ,Мэдээлэл Технологийн Инженер,"Улаанбаатар 16052, Баянгол дүүрэг, Энхтайваны өргөн чөлөө, УБ Платинум барилга 5 давхар","1,200,000 - 1,500,000",Мэргэжилтэн,Бүтэн цагийн,"7511-5577, 7511-5151, 9402-9432", ,,gssmongolia, , ,"2022-04-08 14:48
",https://www.zangia.mn/job/_qr9eyeweuy
"""Ай Эн Мобайл Нэтворк"" ХХК",Хэрэглэгчийн гомдол барагдуулах инженер,"Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, 1-р хороо","1,000,000 - 1,200,000Тохиролцоно",Мэргэжилтэн,Бүтэн цагийн,7211-010 /0101/, ,,ondo.mn, ,"Гүйцэтгэх үндсэн үүрэг
Хэрэглэгчийн гэмтэл саатал гомдолыг цаг алдалгүй шийдвэрлэж, хэвийн ажиллагаагаар хангах
Интернэтийн төхөөрөмжийн гэмтэл саатлыг заасварлах чадвартай
И-сим, биет симтэй ажиллах
Сүлжээний хяналтын төвийн ээлжийн инженерүүдтэй байнгын холбоотой ажиллах
Хэрэглэгчийн гомдолыг шуурхай барагдуулахын тулд ажлын зохион байгуулалт сайтай ажиллах
","2022-04-08 14:17
",https://www.zangia.mn/job/_n39kq5na5c
 Таван Богд Гру,ML\BI ахлах инженер,"Монгол улс, Улаанбаатар хот, Хан-Уул дүүрэг, 3-р хороо, үйлдвэрийн гудамж, Гоёо төв байр","4,000,000 - 5,000,000",Дунд шатны удирдлага,Бүтэн цагийн,9902-7086, ,,TavanBogdGroup, , ,"2022-04-08 10:26
",https://www.zangia.mn/job/_0hi96bly11
 Таван Богд Гру,Support help desk,"Монгол улс, Улаанбаатар хот, Хан-Уул дүүрэг, 3-р хороо, үйлдвэрийн гудамж, Гоёо төв байр","2,100,000 - 2,500,000",Мэргэжилтэн,Бүтэн цагийн,9902-7086, ,,TavanBogdGroup, , ,"2022-03-29 08:49
",https://www.zangia.mn/job/_4qm6ys+dt3
